HoldOutSet,TorH,Team,TeamVS,tAbrev,vsAbrev,tType,tTeamVS,gType,rec,hInd,smGrp,hNgrp,aNnon,recW,recL,recT,recWpct,recWpctXwk,ELO,ELOchgPct,ELO13pct,vsrecW,vsrecL,vsrecT,vsrecWpct,vsrecWpctXwk,vsELO,vsELOchgPct,vsELO13pct,week,lookup,Home,Road,line,linesag,linepfz,lineARGH,lineavg,linepig,linenutshell,lineexcel,linedunk,linepyth,lineelo,lineeff,linesaggm,linel2,linel1,linel2h,linefox,lineca,lineesp2,linesagr,linesagpred,linepi,linemidweek,lineopen,linecurry,linemass,linekasulis,lineturner,linedonchess,linepim,linelog,linepugh,lineteamrank,linemedian,linekerns,linejens,lineash,lineffw,lineburd,linedok,linepib,linejens2,lineclean,linewhatif,lineespn,linerwp,linedwig,linegt,lineexcel2,linelinx,linestjohn,lineppg,linel2to,lineherbert,linepr,lineiron,linekalin,linestd,rscore,hscore,actLine,tPts,vsPts,aLnDiff,aLnFlip,tCnt,hCnt,aCnt
0,T,Arizona,Washington,ARI,WSH,NW,NE,H,0-0,1,0,0,0,0,0,0,0,0,1483,0,1.1408,0,0,0,0,0,1472,0,1.1323,1,1Arizona,Arizona,Washington,2,0.45,3.27,3,2.97,2,4,9,5.12,1.86,10.19,2.14,0.45,1.1,-0.23,5.01,4,2,2.1,0.45,0.45,4.3,1.5,0,8.77,1.78,4.3,4.18,0.75,4.3,-0.26,0.37,2.9,2.1,-0.8,5,1,3,9.9,-0.97,3.8,0.95,2,-4.1,2.57,1.77,18.1,-0.5,7,5.02,0.16,-0.94,-0.85,-0.28,0.6,2.77,2.02,3.640685822,24,6,-18,6,24,-20,1,0,0,0
0,T,Baltimore,Buffalo,BAL,BUF,AN,AE,H,0-0,1,0,0,0,0,0,0,0,0,1535,0,1.1808,0,0,0,0,0,1502,0,1.1554,1,1Baltimore,Baltimore,Buffalo,7.5,7.19,8.65,5,8,8,31,1,10.13,9.94,8.96,7.68,7.19,13.35,12.17,9.9,10,7.5,8.5,7.19,7.19,7.7,7.5,3.5,6.61,5.97,10,3.1,6.25,8.6,3.74,9.33,8.9,7.7,8.7,8.46,6,6,7.8,7.3,8.2,0.94,5,8.8,9.55,7.7,14.15,6,-6,2.49,7.51,8.75,10.99,8.79,10.5,5.27,5.84,4.713550837,3,47,44,47,3,36.5,0,0,0,0
0,T,Carolina,Dallas,CAR,DAL,NS,NE,H,0-0,1,0,0,0,0,0,0,0,0,1550,0,1.1923,0,0,0,0,0,1547,0,1.19,1,1Carolina,Carolina,Dallas,3,2.9,3.52,4,3.96,1,4,-2,10.88,3.29,7.11,3.18,2.9,8.08,6.36,0.48,2,3,4,2.9,2.9,4.7,2.5,2.5,2.19,3.1,5.1,4.27,4.74,4,9.29,4.69,3.9,3.5,4.2,6.66,3,2,1.7,0.96,5,0.87,3.5,1.9,4.26,6.32,13.15,3.5,-6,3.58,3.48,2.76,4.21,2.25,4.6,2.43,3.2,3.104407809,8,16,8,16,8,5,0,0,0,0
0,T,Cleveland,Pittsburgh,CLE,PIT,AN,AN,H,0-0,1,1,1,0,0,0,0,0,0,1302,0,1.0015,0,0,0,0,0,1596,0,1.2277,1,1Cleveland,Cleveland,Pittsburgh,-3.5,-9.03,-12.3,-7,-8.91,-6,-29,-18,3.43,-8.21,-7.48,-5.34,-9.03,-14.04,-10.17,-12.3,-8,-4.5,-4.1,-9.03,-9.03,-9.5,-3.5,-6.5,-15.61,-10.67,-4.2,-15.81,-9.36,-10.1,-7,-13.26,-4.4,-9.03,-13.2,-12.52,-6,-12,-4.3,-6.3,-9,-4.31,-3,-9.8,-5.62,-13.67,1.1,-4.5,-23,-13.69,-4.65,-8.26,-7.68,-1.49,-8.5,-3.47,-4.83,5.67365172,21,21,0,21,21,3.5,1,0,0,0
0,T,Denver,Seattle,DEN,SEA,AW,NW,H,0-0,1,0,0,0,0,0,0,0,0,1450,0,1.1154,0,0,0,0,0,1545,0,1.1885,1,1Denver,Denver,Seattle,3,0.01,4.73,1,-1.42,4,-9,-13,4.97,-2.72,-3.42,-0.97,0.01,-7.02,-11.21,-4.6,-4,2,2.4,0.01,0.01,0.1,3,1.5,-4.16,-4.39,1.8,-1.37,-0.55,-0.1,-2.94,-5.93,2.5,-0.55,-4.8,-5,0.01,-2,-4.4,6.07,-0.8,0.36,4,-1,1.61,-7.29,9.4,2,-15,-0.41,0.66,-2.81,-1.74,3.74,1.9,0.01,0.04,4.671439615,24,27,3,27,24,0,0,0,0,0
0,T,Detroit,N.Y. Jets,DET,NYJ,NN,AE,H,0-0,1,0,0,0,0,0,0,0,0,1524,0,1.1723,0,0,0,0,0,1432,0,1.1015,1,1Detroit,Detroit,N.Y. Jets,7,7.35,7.99,5,7.17,6,9,12,-1.97,8.12,11.07,6.76,7.35,9.62,5.48,13.33,10,7,6.1,7.35,7.35,7.2,6.5,6.5,8.66,9.18,5.6,7.06,7.94,7.1,7.08,9.77,6.1,7.2,10.2,10.75,6,7,14,8.51,6.8,0.58,5.5,1,8.3,12.89,-0.45,6.5,11,6.83,6.33,9,6.61,3.16,7.2,5.11,6,3.356836851,48,17,-31,17,48,-38,1,0,0,0
0,T,Green Bay,Chicago,GB,CHI,NN,NN,H,0-0,1,1,1,0,0,0,0,0,0,1472,0,1.1323,0,0,0,0,0,1444,0,1.1108,1,1Green Bay,Green Bay,Chicago,7,9.05,4.88,3,4.58,10,9,3,11.01,3.15,-2.07,3.06,9.05,2.04,5,5.02,0.01,6.5,7.4,9.05,9.05,4.7,7.5,8.5,0.04,3.12,7.3,4.65,7.24,7,4.07,1.33,8.1,4.4,1,1.67,3,8,-6.7,12.75,4,3.18,4.5,1,9.64,4.05,2.55,8.5,-1,5.46,5.7,5.5,1.21,3.26,7.4,2.51,4.4,3.858417943,23,24,1,24,23,-6,0,0,0,0
0,T,Indianapolis,Cincinnati,IND,CIN,AS,AN,H,0-0,1,0,0,0,0,0,0,0,0,1407,0,1.0823,0,0,0,0,0,1475,0,1.1346,1,1Indianapolis,Indianapolis,Cincinnati,2,2.79,-3.39,0.25,-0.79,5,-9,-9,4.63,-0.3,-3.16,0.35,2.79,-2.41,-4.17,-9.14,-2,2,2.5,2.79,2.79,-0.8,2.5,1,-7.18,-0.67,2,-0.86,1.15,-2.8,-1.78,-2.41,0.7,-0.74,-5.4,-1.3,-1,-2,-2.8,-0.74,-0.9,1.99,3,-3.1,4.39,-3.8,1.85,3,-10,-0.84,0.86,0.31,-6.34,0.82,-0.9,1.09,2.06,3.554862762,34,23,-11,23,34,-13,1,0,0,0
0,T,LA Chargers,Kansas City,LAC,KC,AW,AW,H,0-0,1,1,1,0,0,0,0,0,0,1545,0,1.1885,0,0,0,0,0,1571,0,1.2085,1,1LA Chargers,LA Chargers,Kansas City,3.5,2.91,3.46,1,3.26,5,6,11,-4.9,4.12,5.58,3.77,2.91,3.47,11.36,5.14,4,3.5,3,2.91,2.91,2.3,3.5,3,10.05,3.83,3.1,2.99,3.85,3.3,1.65,3.6,5.9,3.46,3.9,7.05,1,-2,5.9,0.4,2.4,-0.8,0.01,-7.6,4.31,1.76,5.15,4.5,6,3.04,3.39,-1.46,4.11,2.68,4.6,3.11,3.09,3.416661184,38,28,-10,28,38,-13.5,1,0,0,0
0,T,Miami,Tennessee,MIA,TEN,AE,AS,H,0-0,1,0,0,0,0,0,0,0,0,1450,0,1.1154,0,0,0,0,0,1496,0,1.1508,1,1Miami,Miami,Tennessee,0,0.01,1.89,2,0.16,-2,-7,1,8.63,-0.26,-4.22,0.57,0.01,-0.38,-1.37,4.07,0.01,0,-0.9,0.01,0.01,2,-1.5,-2.5,-7.13,1.15,-0.3,-0.06,0.05,0.8,1.93,-0.45,0.4,0.01,2.2,1.01,1,2,-5.2,-1.24,2.3,0.49,1,-8.1,-0.37,-2.79,11.35,1,2,1.32,-0.68,-0.99,-0.17,-1.06,-3.3,1.02,-1.19,3.340925597,20,27,7,27,20,7,1,0,0,0
